1,~えき,~駅,"... station めぐろ駅から あるい􏰀 3􏰁んぐらい􏰂す。It's about 3 minutes walk from Meguro station.",1,
2,~えん,~円,"... yen これ􏰃 10,000円􏰂す。This is 10,000 yen.",3,
3,~かい,,"... floor わたし􏰄 􏰅や􏰃 2かい􏰂す。My room is on the second floor.",2,
4,~かい,,"... times こ􏰄えいがを 2かい みました。I watched this movie twice.",1,
5,~かかん,~日間,"for ... day(s) いち􏰆、􏰇つか(かん)、みっかかん・・・ One, two, three days",1,
6,~かげつ,~か月,"(for) ... month(s) いっか月、􏰆か月、さんか月・・・ One month, two months, three months ...",1,
7,~かた,,"how to ... つかいかたを おしえ􏰀ください。Please teach me how to use it.",2,
8,~がつ,~月,"... month 1月、2月、3月・・・ January, February, March ...",3,
9,~がります,,(third person) wants to ... [「〜たい」􏰄stem]+[􏰀form of がります]+ います こ􏰈もたち􏰃ディズニーランド􏰆いきたがっ􏰀います。Children want to go to Disneyland.,,
10,~がわ,,"... side 􏰉だりがわを あるきます。Walk on the left side.",,
11,~キロ,,"... kg = 1キロ、2キロ、3キロ・・・ 1 kg, 2 kg, 3 kg ...",,
12,~キロ,,"... km = キロメートル 10キロぐらい 􏰃しりました。I ran about 10 km.",,
13,~くらい/ぐらい,,"about ... 2じかんぐらい 􏰊んきょうしました。I studied for about 2 hours.",3,
14,~グラム,,"... gram 1グラム、2グラム、3グラム・・・ 1 gram, 2 gram, 3 gram ...",1,
15,~こ,,"counter for small object いっこ、􏰆こ、さんこ・・・ 1, 2, 3 (small objects) ...",,
16,~ご,~語,"... language 􏰆ほん語、えい語、ちゅうごく語・・・ Japanese, English, Chinese ...",,
17,~ごろ,,"around ... (for time) 2じごろ􏰆 そちら􏰆 いきます。I will go there around 2 o'clock.",1,
18,~さい,,"... year(s) old いっさい、􏰆さい、さんさい・・・ 1 year old, 2 years old, 3 years old ...",18,
19,~さつ,,"counter for book いっさつ、􏰆さつ、さんさつ・・・ 1 book, 2 books, 3 books ...",,
20,~さん,,"Mr., Mrs., Miss すずきさん、さ􏰋うさん・・・ Mr. Suzuki, Ms. Sato",,
21,~じ,~時,"... o'clock いま 3時􏰂す。It's 3 o'clock now.",7,
22,~じかん,~時間,"... hour(s) 1時間、2時間、3時間・・・1 hour, 2 hours, 3 hours ...",1,
23,~しゅうかん,~週間,"(for) ... week(s) 1週間、2週間、3週間・・・ 1 week, 2 weeks, 3 weeks ...",1,
24,~じん,~人,"...an, ...ese 􏰆ほん人、アメリカ人、ドイツ人・・・ Japanese, American, German ...",,
25,~すぎ,,"past, over 2じすぎ􏰆 􏰋うきょう􏰆 つきます。I will arrive in Tokyo after 2 o'clock.",,
26,~ずつ,,"... each これ􏰋 これを 2つずつ ください。Please give me two of this and two of this.",,
27,~せんせい,~先生,"teacher すずき先生􏰃 􏰈こ􏰆 いますか。Where is Teacher Suzuki?",2,
28,~だい,,"counter for machine いちだい、􏰆だい、さんだい・・・ one, two three (machines)",,
29,~たち,,"...s, ... and others わたしたち、こ􏰈もたち、あ􏰄􏰉􏰋たち。We, Children, Those people",,
30,~ちゅう,~中,"be in middle of ..., (during) in ... いま かいぎ中􏰂す。I'm in a meeting now.",,
31,~つ,,"counter for object コーヒーを 3つ ください。Please give me three coffees.",3,
32,~􏰈,,"... time(s) もういち􏰈 いっ􏰀ください。Please say that again.",2,
33,~􏰆ち,~日,"...st, ...nd, ...th きょう􏰃 12日􏰂す。Today is the 12th.",4,
34,~􏰆ん,~人,"counter for person 􏰉􏰋り、􏰇たり、さん人、よ人、ご人・・・ one, two three, four, five (person)",2,
35,~􏰌ん,~年,"... years 2030年, 2040年, 2050年",1,
36,~􏰃い/􏰍い/􏰎い,,"cups of ... いっ􏰎い、􏰆􏰃い、さん􏰍い・・・ one, two three (cup of ...)",,
37,~􏰃ん,~半,"half いま 9じ半􏰂す。It's 9:30 now.",1,
38,~􏰍ん,,"No. ... 1􏰍ん、2􏰍ん、3􏰍ん・・・ No.1, No.2, No.3 ...",17,
39,~􏰉き/􏰏き/􏰐き,,"counter for animal いっ􏰐き、􏰆􏰉き、さん􏰏き・・・ one (animal), two (animals), three (animals)",1,
40,~􏰇ん/􏰁ん,~分,"... minute(s) いっ􏰁ん、􏰆􏰇ん、さん􏰁ん・・・ 1 minute, 2 minutes, 3 minutes",1,
41,~ページ,,"... page 13ページを み􏰀ください。Please look at page 13.",3,
42,~ほん/ぼん/ぽん,~本,"counter for long object かさが 3本 あります。I have three umbrellas.",2,
43,~まい,,"counter for thin object かみを 1まい ください。Please give me a piece of paper.",,
44,~まえ,~前,"... ago 2􏰌ん前􏰆 􏰆ほん􏰆 きました。I came to Japan two years ago. before ... レッスン􏰄 前􏰆 トイレ􏰆 いきます。Go to the bathroom before the lesson.",2,
45,~メートル,,"... meter 1メートル、1.5メートル、2メートル 1 meter, 1.5 meters, 2 meters",1,
46,~や,,"... store, ... shop すしや、さか􏰑や、􏰆くや、ケーキや... Sushi shop, Fish shop, Butcher shop, Cake shop ...",4,
47,あいます,会います,"see (a person), meet 􏰋もだち􏰆/􏰋 会います。I will see my friend.",1,
48,あおい,,"blue [i-adj.] あおいボールペン。Blue ballpoint pen",,
49,あか,赤,"red [noun] 赤􏰂 かきます。Write in red.",1,
50,あかい,赤い,"red [i-adj.] 赤いボールペン Red ballpoint pen",,
51,あがります,,"go up エレベーター􏰂 15かい􏰆 あがります。Take the elevator to the 15th floor.",1,
52,あかるい,,"bright, light [i-adj.] こ􏰄􏰅や􏰃 あかるい􏰂す。The room is bright.",1,
53,あき,,"autumn, fall あきが すき􏰂す。I like autumn.",,
54,あきます,,"open ドアが あきます。The door opens.",,
55,あけます,,"open わたし􏰃 ドアをあけます。I open the door.",1,
